No voie,B/T/Q,Type de voie,Voie,idVoie
8.0,,AV,LEON DELOYE,541_V
21.0,,RUE,VERNIER,542_V
1.0,,RUE,JOSEPH GAZAN,543_V
31.0,,RUE,GIOFFREDO,544_V
46.0,,RUE,AUGUSTE GAL,545_V
29.0,,AV,PAULIANI,546_V
5.0,,BD,GENERAL LOUIS DELFINO,547_V
12.0,,MTE,CLAIRE VIRENQUE,548_V
14.0,,RUE,MASSINGY,549_V
12.0,,RUE,EMMANUEL PHILIBERT,550_V
10.0,,RUE,VERDI,551_V
9.0,,RUE,GUBERNATIS,552_V
10.0,,CHE,DE L ARBRE,553_V
48.0,,COR,FRERE MARC,554_V
35.0,,BD,JOSEPH GARNIER,555_V
40.0,,BD,VICTOR HUGO,556_V
31.0,,RUE,DE LEPANTE,557_V
21.0,,RUE,DABRAY,558_V
16.0,,AV,DU CHATEAU,559_V
7.0,,RUE,ANTOINE SCOFFIER,560_V
99.0,,AV,HESPERIDES,561_V
1.0,,RLE,DES MOULINS,562_V
3.0,,RUE,BARBERIS,563_V
20.0,,RUE,ALBERT VOISIN,564_V
14.0,,RUE,TRACHEL,565_V
39.0,,RUE,GIOFFREDO,566_V
12.0,,RUE,MIRON,567_V
12.0,,RUE,ABBAYE,568_V
39.0,,BD,JOSEPH GARNIER,569_V
6.0,,RUE,SAINTE REPARATE,570_V
45.0,,RUE,SMOLETT,571_V
1.0,,BD,DE RIQUIER,572_V
98.0,,AV,VALROSE,573_V
20.0,,AV,VILLEBOIS MAREUIL,574_V
45.0,,RUE,ROSSINI,575_V
19.0,B,BD,FRANCK PILATTE,576_V
116.0,,BD,DE CESSOLE,577_V
14.0,,RUE,CASSINI,578_V
23.0,,CHE,FUON DAOU MAGISTRE,579_V
16.0,,AV,RAYMOND COMBOUL,580_V
7.0,,RUE,SAINT VINCENT,581_V
24.0,,AV,AUGUSTE BERCY,582_V
14.0,T,AV,BORRIGLIONE,583_V
5.0,,RUE,GUSTAVE DELOYE,584_V
11.0,B,BD,FRANCK PILATTE,585_V
39.0,,RUE,BONAPARTE,586_V
53.0,,BD,DU 8 MAI 1945,587_V
24.0,,RUE,DELILLE,588_V
7.0,,BD,DU ROSTIT,589_V
29.0,,BD,FRANCOIS SUAREZ,590_V
18.0,,BD,DE RIQUIER,591_V
43.0,,AV,JEAN MEDECIN,592_V
44.0,,BD,GAMBETTA,593_V
32.0,,RUE,VERDI,594_V
7.0,,RUE,DU SOLEIL,595_V
19.0,,AV,D ANVERS,596_V
33.0,,AV,STEPHEN LIEGEARD,597_V
25.0,,AV,DESAMBROIS,598_V
8.0,,CHE,DES CRETES,599_V
10.0,,BD,DUBOUCHAGE,600_V
17.0,,RUE,PENCHIENATTI,601_V
5.0,,RUE,DES BOERS,602_V
132.0,,AV,DE BRANCOLAR,603_V
37.0,,AV,G CLEMENCEAU,604_V
190.0,,RTE,DE TURIN,605_V
14.0,,RUE,DES PONCHETTES,606_V
23.0,,AV,GIACOBI,607_V
2.0,,RUE,PARMENTIER,608_V
63.0,,RUE,ROSSINI,609_V
16.0,,PL,GARIBALDI,610_V
8.0,,AV,SAINT JEAN BAPTISTE,611_V
10.0,,RUE,LAURENT GIAUME,612_V
32.0,,RUE,L HOTEL POSTES,613_V
